Titre,Recette,Duree de preparation,Ingrédients ,Calories(kcal),Protéines(g),Lipides(g),Glucides(g),Videos Youtube,Image,Type de cuisine,Cathegorie de cuisine
Fèves,"Faites cuire les fèves dans l’eau bouillante salée jusqu’à tendreté. Égouttez et assaisonnez avec de l’huile d'olive, du cumin, du sel et un filet de jus de citron avant de servir.",15-30 minutes,"Fèves, huile d'olive, cumin, sel, citron",180,12,5,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.tastygourmandise.com%2Fwp-content%2Fuploads%2F2018%2F10%2Ffeves-recette-marocaine.png&f=1&nofb=1&ipt=1c0cc60d36f4451ff3b2b8bd3975ab823a4f6f084107e9f8a980ab80509931f3&ipo=images,,
Filets de poulet,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.toques2cuisine.com%2Fwp-content%2Fuploads%2F2015%2F02%2FFILET-DE-POULET-AU-POIVRE-007.jpg&f=1&nofb=1&ipt=1b826a135cb6a7787c1ca6b5769b816692385f645132f0e180e3b54d024ee164&ipo=images,,
Frites,Pelez et coupez les pommes de terre en bâtonnets. Faites-les frire dans de l’huile chaude jusqu’à ce qu'elles soient dorées et croustillantes. Égouttez et salez avant de servir.,15-30 minutes,"Pommes de terre, huile, sel",300,3,15,40,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffrifri-shop.fr%2Fwp-content%2Fuploads%2Fsites%2F6%2F2019%2F07%2FFrifri_Friteuse_Rece_1_1.jpg&f=1&nofb=1&ipt=e5545fda8b2944b99de8da91cf38166071dd98e4c8ae079b410060e9dcc1ec89&ipo=images,,
Friture de poisson,"Assaisonnez le poisson avec du sel, du poivre et du citron. Passez les morceaux dans de la farine, puis faites-les frire dans de l’huile chaude jusqu'à dorure. Égouttez avant de servir avec des quartiers de citron.",15-30 minutes,"Poisson, farine, huile, citron, sel, poivre",250,20,15,5,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F3AyU4vCTCUg%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=5a9e72f9915491b8801e2bb28c4f2fb458664a3f4bc6fc3a7ce1ddb53268fb11&ipo=images,,
Gâteau au chocolat,"Faites fondre le chocolat et le beurre. Ajoutez le sucre et les œufs en mélangeant, puis incorporez la farine. Versez dans un moule et faites cuire au four pendant 20-25 minutes jusqu'à ce qu'un couteau inséré ressorte propre.",30-60 minutes,"Chocolat, beurre, sucre, œufs, farine",400,5,20,50,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fassets.afcdn.com%2Frecipe%2F20130823%2F35061_w3072h2304c1cx2592cy1728.jpg&f=1&nofb=1&ipt=d74a572d1741bc69cabd49f2304f96a2127901913494010b2ed1ce688996d352&ipo=images,,
Gratin,"Préchauffez le four à 180 °C. Alternez des couches de pommes de terre en tranches avec de la crème, du fromage râpé, de l'ail et des épices dans un plat beurré. Couvrez de fromage et enfournez pendant 45 minutes jusqu'à ce que les pommes de terre soient tendres et le gratin bien doré.",30-60 minutes,"Pommes de terre, crème, fromage, ail, sel, poivre",300-400,8,25,35,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.cuisineaz.com%2F2015-11-09%2Fi85389-gratin-de-potiron.jpg&f=1&nofb=1&ipt=2aec389086ad7971c0d0101893aba143d150944745be93b5b2b734a11a562345&ipo=images,,
Hamburger,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.taste.com.au%2F4bkjKpXm%2Ftaste%2F2016%2F11%2Fbasic-beef-burger_1980x1320-118412-1.jpg&f=1&nofb=1&ipt=6aec089b69d4c555de94e68bd16381ba0e45a891a7647e043989030a05d45e61&ipo=images,,
Harcha,"Mélangez la semoule, le beurre fondu, le sel, et un peu de lait pour obtenir une pâte épaisse. Façonnez en galettes et faites cuire sur une poêle chaude jusqu’à ce qu'elles soient dorées des deux côtés.",15-30 minutes,"Semoule, beurre, lait, sel",250,6,12,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fsosrecette.com%2Fwp-content%2Fuploads%2F2021%2F10%2Fharcha-galette-semoule-marocaine.jpg&f=1&nofb=1&ipt=c2a08f6af922fce23561d26bed415e4c8769a3d50730171c445479039e619c07&ipo=images,,
Haricot,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.recettemarocaine365.com%2Fwp-content%2Fuploads%2F2017%2F03%2F0-2.jpg&f=1&nofb=1&ipt=37dbbc12f55c709705d4f0268616c004883b88fde6fd7b286e0cffe03eb3019b&ipo=images,,
Harira,"Faites cuire les lentilles et pois chiches avec des oignons, des tomates, du céleri, du persil et des épices (cumin, paprika, curcuma). Ajoutez des morceaux de viande pour plus de saveur et laissez mijoter. Servez avec un filet de jus de citron et du pain.",1-3 heures,"Lentilles, pois chiches, oignons, tomates, épices, viande",200-250,12,8,30,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F05%2Fharira-2-moroccan-soup-picturepartners-bigstock.jpg&f=1&nofb=1&ipt=d28056fd3308e0a4cc6f3afe06a0102118c5b84e3f7f3f1eb98182388d2ffe38&ipo=images,Marocaine,Traditionnelle
Indomi,,,,,,,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FFQeW20dBYww%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=d089012b60eb07136349275175b8bcbade782bf088fe1fcf39ddd6b83b3547c4&ipo=images,,
Kapssa libanaise,"Faites cuire des morceaux de poulet avec des oignons et des épices (curcuma, cumin). Ajoutez du riz, des tomates, des poivrons, et laissez cuire avec du bouillon jusqu’à absorption du liquide. Servez garni de persil et de pignons de pin grillés.",30-60 minutes,"Poulet, riz, tomates, poivrons, épices, pignons",400,15,10,60,,,,
Kebab,"Assaisonnez des morceaux de viande (agneau ou bœuf) avec du sel, du poivre, du cumin, et du paprika. Embrochez avec des oignons et des poivrons et faites griller sur le barbecue ou à la poêle jusqu'à cuisson désirée.",15-30 minutes,"Viande, oignons, poivrons, épices",250-300,20,12,5,,,,
knacki,,,,,,,,,,,
Lasagne,"Faites une sauce bolognaise avec de la viande, des tomates, et des oignons. Préparez une béchamel et alternez des couches de pâte à lasagne avec la sauce et la béchamel dans un plat. Couvrez de fromage râpé et faites cuire au four pendant 30-40 minutes.",1-3 heures,"Pâtes lasagne, viande, tomates, béchamel, fromage",500,25,20,50,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.galbani.fr%2Fwp-content%2Fuploads%2F2017%2F07%2Fshutterstock_142426168.jpg&f=1&nofb=1&ipt=dd4babc5ce53cacb091252794351fa38fe536320484eed47712eaa6a7a2c3eb6&ipo=images,,
Légumes,,,,,,,,,,,
Légumes sautés,"Coupez des légumes variés (poivrons, courgettes, carottes) en morceaux. Faites-les sauter dans un peu d’huile d’olive avec de l'ail, du sel et du poivre jusqu'à ce qu'ils soient tendres et légèrement dorés.",15-30 minutes,"Poivrons, courgettes, carottes, huile d’olive, ail",150,2,10,20,,,,
Légumineuses,"Faites cuire des légumineuses (lentilles, pois chiches, haricots) avec de l'ail, des oignons et des épices comme le cumin et le curcuma. Servez avec un filet d’huile d’olive et du persil.",30-60 minutes,"Lentilles, pois chiches, haricots, oignons, épices",200-250,12,5,35,,,,
Lentilles,"Faites revenir des oignons, de l'ail, des tomates et des épices (cumin, paprika) dans un peu d'huile. Ajoutez les lentilles, couvrez d'eau et laissez mijoter jusqu'à ce qu'elles soient tendres. Ajoutez un filet d'huile d'olive et du persil frais avant de servir.",30-60 minutes,"Lentilles, oignons, tomates, ail, huile, épices",180,10,5,30,,,,
Loubia,"Faites cuire les haricots blancs dans de l'eau avec de l'ail, des tomates, et des épices (paprika, cumin). Laissez mijoter jusqu’à ce que les haricots soient tendres et la sauce épaissie. Servez chaud avec du persil frais.",1-3 heures,"Haricots blancs, ail, tomates, épices",200,12,4,30,,,,
Manti,,,,,,,,,,,
Mechoui ,"Assaisonnez un agneau entier ou des morceaux avec du sel, du poivre, et des épices (cumin, paprika). Faites griller lentement à la broche ou au four, en badigeonnant d’huile régulièrement pour garder la viande tendre et juteuse.",Plus,"Agneau, huile, sel, poivre, cumin, paprika",400,30,25,0,,,,
Medfouna,,,,,,,,,,,
Mrouzia,"Faites mariner des morceaux d'agneau avec des épices (ras el hanout, cannelle), du miel, et des amandes. Faites cuire lentement dans une marmite jusqu'à ce que la viande soit tendre et enrobée d’une sauce épaisse et sucrée.",1-3 heures,"Agneau, miel, amandes, ras el hanout, cannelle",500,25,30,20,,,,
Msemen,"Mélangez de la farine, de la semoule, de l'eau et du sel pour former une pâte. Divisez en boules, étalez-les finement avec de l'huile, et pliez-les en carrés. Faites cuire sur une poêle chaude avec un peu d'huile jusqu'à ce qu'elles soient dorées et croustillantes.",15-30 minutes,"Farine, semoule, huile, sel",250,5,10,35,,,,
Ndole,"Faites cuire des feuilles de ndolé avec des arachides écrasées, de l'ail, de l'oignon, et des épices. Ajoutez de la viande (bœuf ou poisson) si désiré, et laissez mijoter jusqu'à obtenir une consistance épaisse et savoureuse. Servir avec du plantain frit ou du manioc.",1-3 heures,"Ndolé, arachides, oignons, ail, épices, viande (facultatif)",300,15,20,20,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fconstancemagazine.com%2Fwp-content%2Fuploads%2F2019%2F11%2FNdole.jpg&f=1&nofb=1&ipt=bf8f52a81bc364c33b4d04f89c292c89145db0a4c6c47951fb88c5f9602f0492&ipo=images,,
Nfouk-owone,"Faites cuire les feuilles de manioc pilées avec des arachides moulues, de l'ail et des oignons. Ajoutez de la viande fumée (facultatif) pour un goût supplémentaire et laissez mijoter jusqu'à épaississement. Servez avec du plantain ou du riz.",1-3 heures,"Feuilles de manioc, arachides, ail, oignons, viande",280,10,18,25,,,,
Njapche,"Faites revenir de la viande (poulet ou bœuf) avec des épices et des légumes (poivrons, oignons). Ajoutez les feuilles d’épinard ou d'autres légumes verts. Laissez mijoter jusqu'à tendreté. Servez avec du plantain ou du riz.",1-3 heures,"Viande, épinards, poivrons, oignons, épices",300,20,10,20,,,,
Nouilles instantanées,"Faites bouillir de l'eau et ajoutez les nouilles. Incorporez le sachet de saveurs et laissez mijoter jusqu'à ce que les nouilles soient tendres. Ajoutez des légumes frais, des œufs ou du poulet pour un repas plus complet.	",15-30 minutes,"Nouilles instantanées, légumes, œufs (optionnel)	",350,7,15,45,,,,
Œufs,"Cassez les œufs dans une poêle chaude avec un peu d'huile, assaisonnez avec du sel et du poivre, et faites-les cuire selon votre goût (brouillés, au plat ou durs).	",15-30 minutes,"Œufs, sel, poivre, huile	",100,7,7,1,,,,
Okok,"Faites cuire des feuilles de manioc pilées avec des arachides écrasées, de l'oignon et de l'ail. Ajoutez de la viande ou du poisson fumé si désiré, puis laissez mijoter jusqu'à obtenir une consistance épaisse. Servez avec du manioc ou du plantain.	",1-3 heures,"Feuilles de manioc, arachides, oignon, ail, viande",280,12,20,20,,,,
Légumes sautés.,,,,,,,,,,,
Omelette,"Battez les œufs dans un bol avec un peu de lait, du sel et du poivre. Versez dans une poêle chaude avec de l’huile et faites cuire jusqu'à ce que l'omelette soit dorée et gonflée. Ajoutez des légumes ou du fromage si désiré.	",15-30 minutes,"Œufs, lait, sel, poivre, huile",150,10,12,2,,,,
Overnight oats,,,,,,,,,,,
Pad thaï,,,,,,,,,,,
Paella,"Faites revenir des morceaux de poulet, des fruits de mer, et des légumes (poivrons, petits pois). Ajoutez du riz et du safran, puis faites cuire dans du bouillon jusqu'à absorption complète du liquide. Garnissez avec des fruits de mer et du persil avant de servir.	",30-60 minutes,"Riz, poulet, fruits de mer, poivrons, safran, bouillon",450,25,12,60,,,,
Panini,"Coupez une baguette en deux, garnissez-la de fromage, de jambon, de tomates et de légumes. Passez dans un appareil à panini jusqu'à ce que le pain soit croustillant et le fromage fondu.        ",15-30 minutes,"Baguette, fromage, jambon, tomates, légumes",400,15,15,45,,,,
Pastichio,"Faites cuire des pâtes et mélangez-les avec de la viande hachée, des tomates et des épices. Couvrez de béchamel et de fromage râpé dans un plat à gratin. Faites cuire au four jusqu'à ce que le dessus soit doré.	",1-3 heures,"Pâtes, viande hachée, tomates, béchamel, fromage",600,20,25,70,,,,
Pastilla,"Garnissez des feuilles de brick de poulet effiloché, d'amandes grillées, et d'épices comme la cannelle et le safran. Pliez les feuilles en forme de pastilla, badigeonnez d'œuf et faites cuire au four jusqu'à dorure. Saupoudrez de sucre glace avant de servir.	",1-3 heures,"Feuilles de brick, poulet, amandes, cannelle, sucre glace	",450,20,15,50,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.foodeals.ma%2Fblog%2Fwp-content%2Fuploads%2F2020%2F03%2Fseafood-bastilla-bigstock-picturepartners-scaled.jpg&f=1&nofb=1&ipt=bbd663a43b232bc400fc08396101d973fb622576cdedbb54a9513c2456199f12&ipo=images,,
Pastilla au Fruit de mer,"Garnissez des feuilles de brick de fruits de mer (crevettes, calamars), d'épices (paprika, safran) et d’un mélange de vermicelles de riz. Pliez en forme de pastilla, badigeonnez d'œuf et faites cuire jusqu'à dorure.	",1-3 heures,"Feuilles de brick, crevettes, calamars, vermicelles de riz	",400,18,12,45,,,,
Pastilla au poisson,"Garnissez des feuilles de brick avec un mélange de poisson blanc émietté, de fruits de mer (crevettes ou calamars), d’épices (paprika, cumin), et de vermicelles de riz. Pliez en pastilla, badigeonnez d’œuf et faites cuire au four jusqu’à dorure.	",1-3 heures,"Feuilles de brick, poisson, vermicelles, épices",400,20,12,40,,,,
Pâtes,"Faites cuire des pâtes dans de l’eau salée. Préparez une sauce avec des tomates, de l’ail, des oignons, et du basilic. Mélangez les pâtes avec la sauce et garnissez de fromage râpé avant de servir.	",15-30 minutes,"Pâtes, tomates, ail, oignons, basilic, fromage	",350,10,8,60,,,,
Pavé de saumon,"Assaisonnez le saumon avec du sel, du poivre et du citron. Faites-le cuire à la poêle ou au four avec un peu d’huile d’olive jusqu’à ce qu’il soit tendre. Servez avec des légumes vapeur ou du riz.	",15-30 minutes,"Saumon, citron, huile d’olive, légumes",350,25,15,20,,,,
Pizza,"Étalez une pâte à pizza, garnissez-la de sauce tomate, de fromage râpé, et d'autres ingrédients (jambon, légumes, champignons). Faites cuire au four à 220 °C jusqu’à ce que la pâte soit dorée et le fromage fondu.	",15-30 minutes,"Pâte à pizza, sauce tomate, fromage, garnitures au choix",500,15,20,60,,,,
Plats escalope de dinde,"Assaisonnez des escalopes de dinde avec du sel, du poivre, et des épices. Faites-les griller ou cuire dans une poêle avec un peu d’huile jusqu’à ce qu’elles soient bien dorées. Servez avec des légumes ou une salade.	",15-30 minutes,"Escalopes de dinde, huile, sel, poivre, légumes (optionnel)",200,30,5,5,,,,
Pomme de terre aux olives,,,,,,,,,,,
Pois chiche,"Faites cuire des pois chiches secs ou utilisez des pois chiches en conserve. Ajoutez de l’ail, du jus de citron, de l’huile d’olive et des épices (cumin, paprika). Servez en salade ou en accompagnement.	",15-30 minutes,"Pois chiches, ail, citron, huile d’olive, épices	",250,10,8,35,,,,
