id	Titre	Recette	Duree	Ingredients 	Calories	Proteines	Lipides	Glucides	Youtube	Image	Cuisine	Cathegorie
12	Choucroute	Dans une grande casserole, faites chauffer de l'huile et faites revenir des oignons émincés. Ajoutez la choucroute et laissez mijoter avec des baies de genièvre et des feuilles de laurier. Dans une autre poêle, faites cuire les viandes (saucisses, porc, etc.). Servez la choucroute avec les viandes, et ajoutez des pommes de terre cuites à la vapeur.	1-3 heures	Ingrédients :  250 g de choucroute crue 1 petite pomme de terre 1 saucisse de Strasbourg 1 tranche de lard fumé (environ 100 g) 1/2 oignon, émincé 1 gousse d'ail, émincée 1 feuille de laurier 5 baies de genièvre 1 cuillère à soupe de graisse d'oie ou de saindoux 100 ml de vin blanc d'Alsace (Riesling) Sel et poivre, au goût	500	30	40	25	NULL	https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.alsace-terroir.com%2Fmedias%2Fimages%2Frecettes%2F1-choucroute-a-l-alsacienne-1.jpg&f=1&nofb=1&ipt=0dec374bcae8cb371d8f7f8a91609c30e94e7741ad4978eecdb217fe69b9899d&ipo=images	NULL	NULL
14	Couscous	Faites cuire les légumes (carottes, courgettes, navets) dans une grande casserole. Faites cuire la viande (agneau, poulet ou bœuf) avec des épices comme le cumin et le curcuma. Ajoutez les pois chiches et l'eau pour créer une base de sauce. Faites cuire la semoule de couscous en versant un peu d'eau chaude dessus et en l'égrénant à la fourchette. Servez la semoule avec les légumes, la viande et la sauce.	1-3heures	NULL	500	27	13	55	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi0.wp.com%2Foriginalmoroccanfood.com%2Fassets%2Fimages%2Foriginalmoroccanfood57-1400x928-70.jpg&f=1&nofb=1&ipt=0b6e9a29f4bfa278a5dd7b261dfd6e245f633f3522c7dd7d19db4f59df1c0da1&ipo=images	Maghrébine	Traditionnelle
16	Crêpes à l'avoine	Mélangez les flocons d’avoine avec le lait et les œufs. Ajoutez une pincée de sel et, si désiré, un peu de miel pour sucrer. Chauffez une poêle avec un peu d’huile et versez une petite louche de pâte. Faites cuire des deux côtés jusqu’à ce qu'elles soient dorées.	10 minutes	Flocons d’avoine, lait, œufs, miel	200	8	6	25	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffatsecretfrance.fr%2Fwp-content%2Fuploads%2F2023%2F01%2Fcrepes-aux-flocons-davoine-1024x1024.png&f=1&nofb=1&ipt=42a95d1930c4a0d9fcb0abdf55cd771907a790210f48fbdcc078deeca19c8e53&ipo=images	NULL	NULL
17	Crevettes pilpil	Faites chauffer l'huile d'olive dans une poêle, ajoutez l’ail finement haché et laissez infuser. Ajoutez les crevettes décortiquées, assaisonnez avec du paprika et du piment, puis faites-les sauter jusqu'à cuisson complète. Saupoudrez de persil frais avant de servir.	10 minutes	Crevettes, huile d'olive, ail, paprika, persil	150	15	10	2	NULL	https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.lardoisedesarah.com%2Fwp-content%2Fuploads%2F2020%2F04%2Fc1-min-3-min-min.jpg&f=1&nofb=1&ipt=2db7fe094f05c2cb44aec73bdb3b82f71c1af06c84461fd15dfce60b5df25f88&ipo=images	NULL	NULL
18	Dinde	Préparation :  Faire revenir la dinde : Dans une poêle, chauffez l'huile d'olive à feu moyen. Ajoutez les morceaux de dinde et faites-les dorer de chaque côté pendant environ 5 à 7 minutes. Ajouter les aromates : Ajoutez l'oignon émincé et l'ail haché dans la poêle, faites revenir jusqu'à ce que l'oignon devienne translucide. Assaisonner : Saupoudrez la dinde de paprika, cumin, sel, poivre et thym. Mélangez bien. Cuisson à l'étouffée : Versez le bouillon de volaille (ou de l'eau) dans la poêle, couvrez et laissez mijoter à feu doux pendant environ 15-20 minutes, jusqu'à ce que la dinde soit bien cuite et tendre. Servir : Retirez du feu, ajoutez un peu de persil frais haché pour décorer (facultatif), puis servez chaud avec un accompagnement de légumes ou de riz.	30-60 minutes	150 g de blanc de dinde 1 cuillère à soupe d'huile d'olive 1/2 oignon, émincé 1 gousse d'ail, hachée 1/2 cuillère à café de paprika 1/2 cuillère à café de cumin 1/2 cuillère à café de sel 1/4 de cuillère à café de poivre noir 1/2 cuillère à café de thym 100 ml de bouillon de volaille (ou d'eau) 1/2 cuillère à soupe de persil frais, haché (optionnel)	275	35	13	7	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn.pratico-pratiques.com%2Fapp%2Fuploads%2Fsites%2F4%2F2020%2F11%2F25123918%2Fdinde-farcie.jpg&f=1&nofb=1&ipt=01cc10ef811d195d0f1f3e1965b2a368acf88dc1a34cf6521a0fd90deeedd35b&ipo=images	NULL	NULL
19	Dumplings	Mélangez la viande hachée (ou légumes) avec des épices, de la sauce soja, et de l'ail. Placez une petite cuillerée de farce au centre de chaque pâte à dumpling, pliez et scellez bien. Faites cuire à la vapeur ou faites frire jusqu'à ce qu'ils soient bien dorés.	30-60 minutes	Pâte dumpling, viande ou légumes, sauce soja, ail	250	10	5	30	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fthestrongtraveller.com%2Fwp-content%2Fuploads%2F2020%2F12%2Fdumpling-2.jpg&f=1&nofb=1&ipt=8b9d81fe3569cda6a6a848cdcd507021df241cbdea854d0ce817905fa44f2c24&ipo=images	NULL	NULL
20	Emince de poulet champignon	Faites revenir le poulet coupé en lamelles dans une poêle chaude avec un peu d'huile. Ajoutez les champignons tranchés, puis versez de la crème pour enrober le tout. Laissez mijoter à feu doux jusqu'à ce que la sauce soit bien crémeuse.	15-30 minutes	Poulet, champignons, crème, huile	200	20	8	5	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.circulaire-en-ligne.ca%2Fwp-content%2Fuploads%2Femince-de-poulet-sauce-cremeuse-champignons.jpg&f=1&nofb=1&ipt=5634b84c2f58104670d5fbf99056f3db5beb72379e48f1e6b56653a8db927af7&ipo=images	NULL	NULL
21	Escalopes de dinde	Assaisonnez les escalopes de dinde avec du sel, du poivre et des épices comme le paprika et le thym. Faites chauffer une poêle avec un peu d’huile d'olive, et faites cuire les escalopes jusqu’à ce qu'elles soient bien dorées de chaque côté.	15-30 minutes	Escalopes de dinde, sel, poivre, paprika, huile d'olive	150	20	5	0	NULL	https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.lecoteaudessaveurs.fr.fasterimage.io%2F1398-thickbox_default%2Fescalopes-de-dinde.jpg&f=1&nofb=1&ipt=30de9927589a303cbfbc88c9a1e482df7009966f6a263d4e554b7854d5cac715&ipo=images	NULL	NULL
22	Fajitas	Coupez le poulet et les poivrons en lanières, puis faites-les sauter avec des épices (cumin, paprika, poivre). Chauffez les tortillas et garnissez-les de poulet, légumes, fromage râpé et de crème, si désiré. Pliez et servez chaud.	15-30 minutes	Tortillas, poulet, poivrons, fromage, crème	300	18	10	35	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn.momsdish.com%2Fwp-content%2Fuploads%2F2021%2F04%2FChicken-Fajitas-011-scaled.jpg&f=1&nofb=1&ipt=54a6553e06cd8ab0ffa87c100d1767a1f5117d8c050e45be7f61dbe532fac875&ipo=images	NULL	NULL
23	Falafel	Mixez les pois chiches avec de l’ail, du persil, du cumin et du sel pour obtenir une pâte homogène. Formez des boulettes et faites-les frire dans l’huile jusqu’à ce qu’elles soient dorées et croustillantes.	15-30 minutes	Pois chiches, ail, persil, cumin, huile	250	10	15	20	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2013%2F10%2F23%2Fdining%2F23JPFLEX2%2F23JPFLEX2-superJumbo.jpg&f=1&nofb=1&ipt=228b656c1234964e1df3664d4ce396a809544af1ee95889aa52c15322d953852&ipo=images	NULL	NULL
24	Fèves	Faites cuire les fèves dans l’eau bouillante salée jusqu’à tendreté. Égouttez et assaisonnez avec de l’huile d'olive, du cumin, du sel et un filet de jus de citron avant de servir.	15-30 minutes	Fèves, huile d'olive, cumin, sel, citron	180	12	5	30	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.tastygourmandise.com%2Fwp-content%2Fuploads%2F2018%2F10%2Ffeves-recette-marocaine.png&f=1&nofb=1&ipt=1c0cc60d36f4451ff3b2b8bd3975ab823a4f6f084107e9f8a980ab80509931f3&ipo=images	NULL	NULL
25	Filets de poulet	Préparer les filets : Assaisonnez le filet de poulet avec le paprika, cumin, ail en poudre, sel, poivre et thym. Arrosez de jus de citron. Faire chauffer l'huile : Dans une poêle, chauffez l'huile d'olive à feu moyen. Cuisson du poulet : Placez le filet de poulet dans la poêle chaude et faites-le cuire pendant environ 5 à 7 minutes de chaque côté, jusqu'à ce qu'il soit bien doré et cuit à l'intérieur. Ajouter du liquide (facultatif) : Si vous souhaitez un peu plus de sauce, vous pouvez ajouter 50 ml d'eau ou de bouillon de volaille pendant la cuisson et laisser réduire. Servir : Servez chaud, garni de persil frais si vous le souhaitez.	15-30 minutes	1 filet de poulet (environ 150 g) 1 cuillère à soupe d'huile d'olive 1/2 cuillère à café de paprika 1/2 cuillère à café de cumin 1/2 cuillère à café d'ail en poudre 1/4 de cuillère à café de sel 1/4 de cuillère à café de poivre noir 1/2 cuillère à café de thym séché 1 cuillère à soupe de jus de citron 50 ml d'eau ou de bouillon de volaille (facultatif) Quelques brins de persil frais (facultatif)	225	33	12	2	NULL	https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.toques2cuisine.com%2Fwp-content%2Fuploads%2F2015%2F02%2FFILET-DE-POULET-AU-POIVRE-007.jpg&f=1&nofb=1&ipt=1b826a135cb6a7787c1ca6b5769b816692385f645132f0e180e3b54d024ee164&ipo=images	NULL	NULL
26	Frites	Pelez et coupez les pommes de terre en bâtonnets. Faites-les frire dans de l’huile chaude jusqu’à ce qu'elles soient dorées et croustillantes. Égouttez et salez avant de servir.	15-30 minutes	Pommes de terre, huile, sel	300	3	15	40	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ffrifri-shop.fr%2Fwp-content%2Fuploads%2Fsites%2F6%2F2019%2F07%2FFrifri_Friteuse_Rece_1_1.jpg&f=1&nofb=1&ipt=e5545fda8b2944b99de8da91cf38166071dd98e4c8ae079b410060e9dcc1ec89&ipo=images	NULL	NULL
27	Friture de poisson	Assaisonnez le poisson avec du sel, du poivre et du citron. Passez les morceaux dans de la farine, puis faites-les frire dans de l’huile chaude jusqu'à dorure. Égouttez avant de servir avec des quartiers de citron.	15-30 minutes	Poisson, farine, huile, citron, sel, poivre	250	20	15	5	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2F3AyU4vCTCUg%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=5a9e72f9915491b8801e2bb28c4f2fb458664a3f4bc6fc3a7ce1ddb53268fb11&ipo=images	NULL	NULL
28	Gâteau au chocolat	Faites fondre le chocolat et le beurre. Ajoutez le sucre et les œufs en mélangeant, puis incorporez la farine. Versez dans un moule et faites cuire au four pendant 20-25 minutes jusqu'à ce qu'un couteau inséré ressorte propre.	30-60 minutes	Chocolat, beurre, sucre, œufs, farine	400	5	20	50	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fassets.afcdn.com%2Frecipe%2F20130823%2F35061_w3072h2304c1cx2592cy1728.jpg&f=1&nofb=1&ipt=d74a572d1741bc69cabd49f2304f96a2127901913494010b2ed1ce688996d352&ipo=images	NULL	NULL
29	Gratin	Préchauffez le four à 180 °C. Alternez des couches de pommes de terre en tranches avec de la crème, du fromage râpé, de l'ail et des épices dans un plat beurré. Couvrez de fromage et enfournez pendant 45 minutes jusqu'à ce que les pommes de terre soient tendres et le gratin bien doré.	30-60 minutes	Pommes de terre, crème, fromage, ail, sel, poivre	350	8	25	35	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.cuisineaz.com%2F2015-11-09%2Fi85389-gratin-de-potiron.jpg&f=1&nofb=1&ipt=2aec389086ad7971c0d0101893aba143d150944745be93b5b2b734a11a562345&ipo=images	NULL	NULL
30	Hamburger	Pour préparer un hamburger, commencez par mélanger la viande hachée avec du sel, du poivre et des épices de votre choix (paprika, ail en poudre). Formez une galette légèrement plus large que le pain. Faites chauffer une poêle avec un peu d’huile ou de beurre et faites cuire le steak haché 3 à 4 minutes de chaque côté, selon la cuisson désirée, puis ajoutez une tranche de fromage sur le steak chaud pour qu’il fonde. Pendant ce temps, lavez la laitue, les tomates et l’oignon, et coupez-les en tranches. Chauffez légèrement le pain burger dans une poêle ou au grille-pain. Sur la base du pain, étalez la mayonnaise, ajoutez la laitue, puis le steak avec le fromage fondu. Ajoutez les tranches de tomate, d’oignon et un peu de ketchup, puis refermez le hamburger avec la partie supérieure du pain. Servez immédiatement avec des frites ou une salade.	15-30 minutes	Pain burger, viande hachée, une tranche de fromage (type cheddar), laitue, tomate, oignon, mayonnaise, ketchup, Sel, poivre et épices (paprika, ail en poudre, etc.)	400	32	27	45	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimg.taste.com.au%2F4bkjKpXm%2Ftaste%2F2016%2F11%2Fbasic-beef-burger_1980x1320-118412-1.jpg&f=1&nofb=1&ipt=6aec089b69d4c555de94e68bd16381ba0e45a891a7647e043989030a05d45e61&ipo=images	NULL	NULL
31	Harcha	Mélangez la semoule, le beurre fondu, le sel, et un peu de lait pour obtenir une pâte épaisse. Façonnez en galettes et faites cuire sur une poêle chaude jusqu’à ce qu'elles soient dorées des deux côtés.	15-30 minutes	Semoule, beurre, lait, sel	250	6	12	30	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fsosrecette.com%2Fwp-content%2Fuploads%2F2021%2F10%2Fharcha-galette-semoule-marocaine.jpg&f=1&nofb=1&ipt=c2a08f6af922fce23561d26bed415e4c8769a3d50730171c445479039e619c07&ipo=images	NULL	NULL
32	Haricot	Cuisson des haricots : Dans une casserole, faites bouillir de l'eau salée et ajoutez les haricots. Laissez cuire pendant environ 5-7 minutes pour des haricots frais ou 10-12 minutes pour des haricots congelés, jusqu'à ce qu'ils soient tendres mais encore croquants. Égouttez-les. Faire revenir l'ail : Dans une poêle, chauffez l'huile d'olive à feu moyen. Ajoutez l'ail émincé (si vous l'utilisez) et faites-le revenir jusqu'à ce qu'il soit légèrement doré, environ 1-2 minutes. Assaisonner les haricots : Ajoutez les haricots cuits dans la poêle, assaisonnez avec le sel, le poivre et le thym (si vous l'utilisez). Faites sauter pendant environ 3-4 minutes. Ajouter le vinaigre (facultatif) : Si vous le souhaitez, vous pouvez ajouter une touche de vinaigre balsamique pour un goût acidulé. Mélangez bien. Servir : Garnissez de persil frais haché et servez chaud.	15-30 minutes	150 g de haricots verts frais ou surgelés 1 cuillère à soupe d'huile d'olive 1/2 gousse d'ail, émincée (facultatif) 1/2 cuillère à café de sel 1/4 cuillère à café de poivre noir 1/2 cuillère à café de thym (facultatif) 1/2 cuillère à soupe de vinaigre balsamique (facultatif) Quelques brins de persil frais, haché (facultatif)	135	4	8	17	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.recettemarocaine365.com%2Fwp-content%2Fuploads%2F2017%2F03%2F0-2.jpg&f=1&nofb=1&ipt=37dbbc12f55c709705d4f0268616c004883b88fde6fd7b286e0cffe03eb3019b&ipo=images	NULL	NULL
33	Harira	Faites cuire les lentilles et pois chiches avec des oignons, des tomates, du céleri, du persil et des épices (cumin, paprika, curcuma). Ajoutez des morceaux de viande pour plus de saveur et laissez mijoter. Servez avec un filet de jus de citron et du pain.	1-3 heures	Lentilles, pois chiches, oignons, tomates, épices, viande	225	12	8	30	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftasteofmaroc.com%2Fwp-content%2Fuploads%2F2017%2F05%2Fharira-2-moroccan-soup-picturepartners-bigstock.jpg&f=1&nofb=1&ipt=d28056fd3308e0a4cc6f3afe06a0102118c5b84e3f7f3f1eb98182388d2ffe38&ipo=images	Marocaine	Traditionnelle
34	Indomie	Faire bouillir l'eau : Dans une petite casserole, faites bouillir environ 500 ml d'eau. Cuire les nouilles : Ajoutez les nouilles dans l'eau bouillante et laissez cuire pendant environ 3-4 minutes, jusqu'à ce qu'elles soient tendres. Préparer l'œuf (facultatif) : Si vous souhaitez ajouter un œuf, vous pouvez le cuire directement dans la casserole avec les nouilles pendant les 2 dernières minutes de cuisson, ou le faire frire séparément. Ajouter les assaisonnements : Une fois les nouilles cuites, retirez la casserole du feu. Ajoutez le sachet d'assaisonnement fourni avec les nouilles, ainsi que l'huile d'olive ou le beurre, et mélangez bien. Vous pouvez aussi ajouter de la sauce soja ou des légumes hachés à ce moment. Servir : Servez les nouilles dans un bol, avec l'œuf et les légumes (facultatif), et dégustez chaud.	15-30 minutes	1 paquet de nouilles instantanées Indomi (environ 85 g) 1 cuillère à soupe d'huile d'olive ou de beurre (facultatif) 1/2 cuillère à café de sauce soja (facultatif) 1 œuf (facultatif) 1 cuillère à café de légumes (carottes, oignons, etc.) hachés (facultatif)	375	9	17	55	NULL	https://i.ytimg.com/vi/hQV50DsLTv4/maxresdefault.jpg	NULL	NULL
35	Kapssa libanaise	Faites cuire des morceaux de poulet avec des oignons et des épices (curcuma, cumin). Ajoutez du riz, des tomates, des poivrons, et laissez cuire avec du bouillon jusqu’à absorption du liquide. Servez garni de persil et de pignons de pin grillés.	30-60 minutes	Poulet, riz, tomates, poivrons, épices, pignons	400	15	10	60	NULL	https://th.bing.com/th/id/R.6690b9c7bb81b25a4e8ea3ce25fbf327?rik=w20cT1ILSPgNbw&pid=ImgRaw&r=0	NULL	NULL
36	Kebab	Assaisonnez des morceaux de viande (agneau ou bœuf) avec du sel, du poivre, du cumin, et du paprika. Embrochez avec des oignons et des poivrons et faites griller sur le barbecue ou à la poêle jusqu'à cuisson désirée.	15-30 minutes	Viande, oignons, poivrons, épices	275	20	12	5	NULL	https://cookingorgeous.com/wp-content/uploads/2021/06/lamb-shish-kebab-20.jpg	NULL	NULL
37	knacki	Cuisson des Knackis : Dans une casserole, faites chauffer de l'eau. Dès que l'eau est chaude, plongez les saucisses Knacki dedans et laissez chauffer pendant environ 5 minutes (ou jusqu'à ce qu'elles soient bien chaudes). Vous pouvez aussi les faire revenir dans une poêle avec un peu d'huile pendant 5 minutes pour les dorer. Préparer le pain (facultatif) : Si vous souhaitez servir les Knackis dans un pain à hot-dog, ouvrez le pain et faites-le chauffer légèrement dans une poêle ou au grille-pain. Assembler : Placez les saucisses Knacki dans le pain à hot-dog (si vous en utilisez). Ajoutez de la moutarde, du ketchup, des rondelles d'oignon, ou toute autre garniture de votre choix. Servir : Servez immédiatement et dégustez chaud.	15-30 minutes	2 saucisses Knacki (environ 120 g) 1 cuillère à soupe de moutarde (facultatif) 1 petit pain à hot-dog (facultatif) Quelques rondelles d'oignon (facultatif) Sauce ketchup ou sauce barbecue (facultatif)	275	11	23	7	NULL	https://img.cuisineaz.com/660x660/2013-12-20/i31814-aperitif-fourrage-knackis.jpeg	NULL	NULL
38	Lasagne	Faites une sauce bolognaise avec de la viande, des tomates, et des oignons. Préparez une béchamel et alternez des couches de pâte à lasagne avec la sauce et la béchamel dans un plat. Couvrez de fromage râpé et faites cuire au four pendant 30-40 minutes.	1-3 heures	Pâtes lasagne, viande, tomates, béchamel, fromage	500	25	20	50	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.galbani.fr%2Fwp-content%2Fuploads%2F2017%2F07%2Fshutterstock_142426168.jpg&f=1&nofb=1&ipt=dd4babc5ce53cacb091252794351fa38fe536320484eed47712eaa6a7a2c3eb6&ipo=images	NULL	NULL
